Diameter of Largest Included Sphere (A),Diameter of Largest Free Sphere (A),Diameter of Largest Included Sphere Along Free Sphere Path (A),Unit Cell Volume (A^3),Density (g/cm^3),AV per unit cell (A^3),AV Void Fraction,AV per mass (cm^3/g),NAV per unit cell (A^3),NAV Void Fraction,NAV per mass (cm^3/g),ASA per unit cell (A^2),ASA (m^2/cm^3),ASA per mass (m^2/g),NASA per unit cell (A^2),NASA (m^2/cm^3),NASA per mass (m^2/g),y
42.88363,27.23973,42.84665,229731,0.358015,173502,0.75524,2.10952,0,0,0,24603.5,1070.97,2991.41,0,0,0,0
39.10933,27.74903,39.08849,210539,0.384587,156060,0.74124,1.92737,0,0,0,23609.9,1121.4,2915.86,0,0,0,0
38.4846,27.01775,38.46919,203237,0.406245,148530,0.73082,1.79897,0,0,0,23151.4,1139.13,2804.06,0,0,0,0
38.70365,27.33037,38.14223,205982,0.39335,152179,0.7388,1.87822,0,0,0,23329,1132.57,2879.3,0,0,0,0
38.56348,27.24396,38.5581,205644,0.398149,151308,0.73578,1.848,0,0,0,23335.8,1134.77,2850.11,0.164748,0.00801135,0.0201215,0
43.61826,28.94783,42.4665,247336,0.336195,189939,0.76794,2.28421,0,0,0,25579.4,1034.2,3076.18,0.290669,0.011752,0.0349558,0
45.12845,27.72807,45.12845,242074,0.336464,185269,0.76534,2.27465,0,0,0,25684.7,1061.03,3153.46,0,0,0,0
44.95666,27.535,44.95666,241536,0.337214,184871,0.7654,2.26977,0,0,0,25688.7,1063.56,3153.95,0,0,0,0
37.67307,26.81413,37.66076,198160,0.446899,143824,0.7258,1.62408,0,0,0,22573.5,1139.16,2549.02,0,0,0,0
38.97151,27.61732,38.97151,208821,0.39666,153287,0.73406,1.8506,0,0,0,23318.6,1116.68,2815.21,0,0,0,0
38.09748,27.53126,37.82665,207026,0.396496,152826,0.7382,1.86181,0,0,0,23259.7,1123.52,2833.62,0,0,0,0
39.27721,27.56228,39.21378,210804,0.380319,156783,0.74374,1.95557,0,0,0,23549.1,1117.11,2937.29,0,0,0,0
37.22768,27.38528,37.22768,195514,0.403259,143816,0.73558,1.82409,0,0,0,22658.1,1158.9,2873.84,0,0,0,0
